Tipo;Data_Inicio;Hora_Inicio;Data_Termino;Hora_Termino;Sistema_Operacional;Tempo(ns);Tempo(ms);Gasto_Memoria(bytes);Linhas_Lidas;Algoritmo;Interacoes;Troca_ou_Colisao
Semente 2;07/10/2018;21:04:03;07/10/2018;21:04:03;Windows 10;1631855;0;1535592536;100000;Encadeamento Separado;2281;1140
Semente 2;07/10/2018;21:04:03;07/10/2018;21:04:03;Windows 10;1797467;16;1535592536;100000;Encadeamento Coalescido;211865;209123
Semente 2;07/10/2018;21:04:14;07/10/2018;21:04:14;Windows 10;2104898;0;1612848512;500000;Sondagem Linear;147912;145567
Semente 2;07/10/2018;21:04:14;07/10/2018;21:04:14;Windows 10;1204065;0;1612848512;500000;Sondagem Quadratica;10546;8201
Semente 2;07/10/2018;21:04:14;07/10/2018;21:04:14;Windows 10;1455048;0;1612848512;500000;Duplo Hash;2345;0
Semente 2;07/10/2018;21:04:14;07/10/2018;21:04:14;Windows 10;1647717;0;1612848512;500000;Encadeamento Separado;2345;1172
Semente 2;07/10/2018;21:04:14;07/10/2018;21:04:14;Windows 10;2073641;0;1612923376;500000;Encadeamento Coalescido;252995;250137
Semente 2;07/10/2018;21:04:29;07/10/2018;21:04:29;Windows 10;2151082;0;1364272272;1000000;Sondagem Linear;150680;148323
Semente 2;07/10/2018;21:04:29;07/10/2018;21:04:29;Windows 10;1561878;0;1364272272;1000000;Sondagem Quadratica;57745;55388
Semente 2;07/10/2018;21:04:29;07/10/2018;21:04:29;Windows 10;1576807;0;1364272272;1000000;Duplo Hash;2357;0
Semente 2;07/10/2018;21:04:29;07/10/2018;21:04:29;Windows 10;1552083;0;1364272272;1000000;Encadeamento Separado;2357;1178
Semente 2;07/10/2018;21:04:29;07/10/2018;21:04:29;Windows 10;1906631;0;1364272272;1000000;Encadeamento Coalescido;256643;253767
Semente 3;07/10/2018;21:04:38;07/10/2018;21:04:38;Windows 10;545818;0;1156898352;1000;Sondagem Linear;37422;36285
Semente 3;07/10/2018;21:04:38;07/10/2018;21:04:38;Windows 10;313496;0;1156898352;1000;Sondagem Quadratica;4211;3074
